fecha,linea,turno,produccion_real,capacidad_teorica,defectos,tiempo_parada_min,horas_planificadas
2026-02-11,Línea A - Torno CNC,manana,448,520,8,21,8
2026-02-11,Línea B - Prensa Hidráulica,manana,262,520,62,130,8
2026-02-11,Línea C - Soldadura,manana,360,520,27,78,8
2026-02-11,Línea A - Torno CNC,tarde,475,520,8,32,8
2026-02-11,Línea B - Prensa Hidráulica,tarde,225,520,36,152,8
2026-02-11,Línea C - Soldadura,tarde,351,520,10,58,8
2026-02-12,Línea A - Torno CNC,manana,460,520,10,17,8
2026-02-12,Línea B - Prensa Hidráulica,manana,228,520,40,91,8
2026-02-12,Línea C - Soldadura,manana,371,520,24,33,8
2026-02-12,Línea A - Torno CNC,tarde,451,520,3,25,8
2026-02-12,Línea B - Prensa Hidráulica,tarde,246,520,104,118,8
2026-02-12,Línea C - Soldadura,tarde,386,520,32,31,8
2026-02-13,Línea A - Torno CNC,manana,461,520,13,6,8
2026-02-13,Línea B - Prensa Hidráulica,manana,248,520,37,129,8
2026-02-13,Línea C - Soldadura,manana,363,520,11,22,8
2026-02-13,Línea A - Torno CNC,tarde,460,520,11,12,8
2026-02-13,Línea B - Prensa Hidráulica,tarde,251,520,22,109,8
2026-02-13,Línea C - Soldadura,tarde,353,520,22,45,8
2026-02-16,Línea A - Torno CNC,manana,447,520,8,28,8
2026-02-16,Línea B - Prensa Hidráulica,manana,215,520,60,77,8
2026-02-16,Línea C - Soldadura,manana,391,520,40,18,8
2026-02-16,Línea A - Torno CNC,tarde,448,520,12,18,8
2026-02-16,Línea B - Prensa Hidráulica,tarde,242,520,38,115,8
2026-02-16,Línea C - Soldadura,tarde,376,520,38,48,8
2026-02-17,Línea A - Torno CNC,manana,465,520,8,16,8
2026-02-17,Línea B - Prensa Hidráulica,manana,218,520,53,100,8
2026-02-17,Línea C - Soldadura,manana,386,520,46,57,8
2026-02-17,Línea A - Torno CNC,tarde,455,520,14,16,8
2026-02-17,Línea B - Prensa Hidráulica,tarde,173,520,32,54,8
2026-02-17,Línea C - Soldadura,tarde,372,520,28,68,8
2026-02-18,Línea A - Torno CNC,manana,464,520,9,26,8
2026-02-18,Línea B - Prensa Hidráulica,manana,90,520,51,217,8
2026-02-18,Línea C - Soldadura,manana,383,520,33,32,8
2026-02-18,Línea A - Torno CNC,tarde,453,520,12,29,8
2026-02-18,Línea B - Prensa Hidráulica,tarde,255,520,49,98,8
2026-02-18,Línea C - Soldadura,tarde,388,520,18,33,8
2026-02-19,Línea A - Torno CNC,manana,482,520,11,17,8
2026-02-19,Línea B - Prensa Hidráulica,manana,250,520,68,100,8
2026-02-19,Línea C - Soldadura,manana,370,520,23,58,8
2026-02-19,Línea A - Torno CNC,tarde,474,520,15,28,8
2026-02-19,Línea B - Prensa Hidráulica,tarde,182,520,52,81,8
2026-02-19,Línea C - Soldadura,tarde,368,520,29,56,8
2026-02-20,Línea A - Torno CNC,manana,446,520,3,21,8
2026-02-20,Línea B - Prensa Hidráulica,manana,298,520,45,117,8
2026-02-20,Línea C - Soldadura,manana,419,520,33,48,8
2026-02-20,Línea A - Torno CNC,tarde,466,520,11,10,8
2026-02-20,Línea B - Prensa Hidráulica,tarde,189,520,77,121,8
2026-02-20,Línea C - Soldadura,tarde,382,520,27,55,8
2026-02-23,Línea A - Torno CNC,manana,495,520,12,15,8
2026-02-23,Línea B - Prensa Hidráulica,manana,220,520,65,97,8
2026-02-23,Línea C - Soldadura,manana,398,520,10,41,8
2026-02-23,Línea A - Torno CNC,tarde,469,520,15,13,8
2026-02-23,Línea B - Prensa Hidráulica,tarde,183,520,45,79,8
2026-02-23,Línea C - Soldadura,tarde,376,520,27,26,8
2026-02-24,Línea A - Torno CNC,manana,472,520,9,28,8
2026-02-24,Línea B - Prensa Hidráulica,manana,173,520,33,133,8
2026-02-24,Línea C - Soldadura,manana,362,520,26,45,8
2026-02-24,Línea A - Torno CNC,tarde,462,520,7,21,8
2026-02-24,Línea B - Prensa Hidráulica,tarde,202,520,59,113,8
2026-02-24,Línea C - Soldadura,tarde,383,520,51,29,8
2026-02-25,Línea A - Torno CNC,manana,480,520,3,5,8
2026-02-25,Línea B - Prensa Hidráulica,manana,188,520,31,124,8
2026-02-25,Línea C - Soldadura,manana,386,520,25,42,8
2026-02-25,Línea A - Torno CNC,tarde,467,520,13,9,8
2026-02-25,Línea B - Prensa Hidráulica,tarde,211,520,48,133,8
2026-02-25,Línea C - Soldadura,tarde,363,520,27,45,8
2026-02-26,Línea A - Torno CNC,manana,449,520,7,20,8
2026-02-26,Línea B - Prensa Hidráulica,manana,216,520,57,83,8
2026-02-26,Línea C - Soldadura,manana,372,520,25,56,8
2026-02-26,Línea A - Torno CNC,tarde,445,520,10,22,8
2026-02-26,Línea B - Prensa Hidráulica,tarde,264,520,34,96,8
2026-02-26,Línea C - Soldadura,tarde,359,520,12,69,8
2026-02-27,Línea A - Torno CNC,manana,441,520,6,30,8
2026-02-27,Línea B - Prensa Hidráulica,manana,90,520,62,234,8
2026-02-27,Línea C - Soldadura,manana,334,520,43,47,8
2026-02-27,Línea A - Torno CNC,tarde,458,520,7,23,8
2026-02-27,Línea B - Prensa Hidráulica,tarde,217,520,67,123,8
2026-02-27,Línea C - Soldadura,tarde,383,520,24,44,8
2026-03-02,Línea A - Torno CNC,manana,464,520,3,9,8
2026-03-02,Línea B - Prensa Hidráulica,manana,117,520,53,269,8
2026-03-02,Línea C - Soldadura,manana,351,520,28,22,8
2026-03-02,Línea A - Torno CNC,tarde,468,520,18,25,8
2026-03-02,Línea B - Prensa Hidráulica,tarde,205,520,59,174,8
2026-03-02,Línea C - Soldadura,tarde,414,520,18,52,8
2026-03-03,Línea A - Torno CNC,manana,457,520,13,23,8
2026-03-03,Línea B - Prensa Hidráulica,manana,170,520,45,127,8
2026-03-03,Línea C - Soldadura,manana,348,520,33,23,8
2026-03-03,Línea A - Torno CNC,tarde,448,520,15,12,8
2026-03-03,Línea B - Prensa Hidráulica,tarde,231,520,22,175,8
2026-03-03,Línea C - Soldadura,tarde,373,520,28,47,8
2026-03-04,Línea A - Torno CNC,manana,469,520,3,19,8
2026-03-04,Línea B - Prensa Hidráulica,manana,90,520,23,256,8
2026-03-04,Línea C - Soldadura,manana,379,520,43,36,8
2026-03-04,Línea A - Torno CNC,tarde,487,520,12,15,8
2026-03-04,Línea B - Prensa Hidráulica,tarde,231,520,67,142,8
2026-03-04,Línea C - Soldadura,tarde,345,520,21,41,8
2026-03-05,Línea A - Torno CNC,manana,458,520,12,21,8
2026-03-05,Línea B - Prensa Hidráulica,manana,179,520,57,142,8
2026-03-05,Línea C - Soldadura,manana,392,520,37,56,8
2026-03-05,Línea A - Torno CNC,tarde,466,520,9,6,8
2026-03-05,Línea B - Prensa Hidráulica,tarde,224,520,55,131,8
2026-03-05,Línea C - Soldadura,tarde,351,520,18,59,8
2026-03-06,Línea A - Torno CNC,manana,459,520,12,20,8
2026-03-06,Línea B - Prensa Hidráulica,manana,212,520,67,105,8
2026-03-06,Línea C - Soldadura,manana,382,520,23,38,8
2026-03-06,Línea A - Torno CNC,tarde,455,520,10,16,8
2026-03-06,Línea B - Prensa Hidráulica,tarde,244,520,37,116,8
2026-03-06,Línea C - Soldadura,tarde,370,520,41,47,8
2026-03-09,Línea A - Torno CNC,manana,475,520,4,22,8
2026-03-09,Línea B - Prensa Hidráulica,manana,233,520,53,160,8
2026-03-09,Línea C - Soldadura,manana,368,520,40,77,8
2026-03-09,Línea A - Torno CNC,tarde,454,520,8,31,8
2026-03-09,Línea B - Prensa Hidráulica,tarde,251,520,43,109,8
2026-03-09,Línea C - Soldadura,tarde,373,520,15,32,8
2026-03-10,Línea A - Torno CNC,manana,444,520,6,19,8
2026-03-10,Línea B - Prensa Hidráulica,manana,215,520,78,89,8
2026-03-10,Línea C - Soldadura,manana,401,520,26,44,8
2026-03-10,Línea A - Torno CNC,tarde,470,520,5,23,8
2026-03-10,Línea B - Prensa Hidráulica,tarde,213,520,60,134,8
2026-03-10,Línea C - Soldadura,tarde,430,520,22,37,8
2026-03-11,Línea A - Torno CNC,manana,450,520,7,14,8
2026-03-11,Línea B - Prensa Hidráulica,manana,238,520,76,105,8
2026-03-11,Línea C - Soldadura,manana,361,520,32,37,8
2026-03-11,Línea A - Torno CNC,tarde,469,520,10,7,8
2026-03-11,Línea B - Prensa Hidráulica,tarde,247,520,80,103,8
2026-03-11,Línea C - Soldadura,tarde,371,520,30,49,8
2026-03-12,Línea A - Torno CNC,manana,469,520,18,18,8
2026-03-12,Línea B - Prensa Hidráulica,manana,187,520,30,100,8
2026-03-12,Línea C - Soldadura,manana,379,520,44,37,8
2026-03-12,Línea A - Torno CNC,tarde,463,520,9,29,8
2026-03-12,Línea B - Prensa Hidráulica,tarde,270,520,44,108,8
2026-03-12,Línea C - Soldadura,tarde,402,520,34,70,8
2026-03-13,Línea A - Torno CNC,manana,468,520,8,24,8
2026-03-13,Línea B - Prensa Hidráulica,manana,233,520,67,144,8
2026-03-13,Línea C - Soldadura,manana,403,520,38,64,8
2026-03-13,Línea A - Torno CNC,tarde,469,520,9,21,8
2026-03-13,Línea B - Prensa Hidráulica,tarde,235,520,39,139,8
2026-03-13,Línea C - Soldadura,tarde,371,520,28,62,8
2026-03-16,Línea A - Torno CNC,manana,462,520,10,9,8
2026-03-16,Línea B - Prensa Hidráulica,manana,223,520,64,175,8
2026-03-16,Línea C - Soldadura,manana,373,520,29,48,8
2026-03-16,Línea A - Torno CNC,tarde,483,520,9,22,8
2026-03-16,Línea B - Prensa Hidráulica,tarde,219,520,57,111,8
2026-03-16,Línea C - Soldadura,tarde,384,520,37,30,8
2026-03-17,Línea A - Torno CNC,manana,461,520,7,29,8
2026-03-17,Línea B - Prensa Hidráulica,manana,170,520,44,141,8
2026-03-17,Línea C - Soldadura,manana,414,520,27,37,8
2026-03-17,Línea A - Torno CNC,tarde,488,520,4,5,8
2026-03-17,Línea B - Prensa Hidráulica,tarde,214,520,45,91,8
2026-03-17,Línea C - Soldadura,tarde,395,520,30,37,8
2026-03-18,Línea A - Torno CNC,manana,440,520,13,25,8
2026-03-18,Línea B - Prensa Hidráulica,manana,199,520,80,90,8
2026-03-18,Línea C - Soldadura,manana,346,520,21,44,8
2026-03-18,Línea A - Torno CNC,tarde,463,520,9,22,8
2026-03-18,Línea B - Prensa Hidráulica,tarde,171,520,79,126,8
2026-03-18,Línea C - Soldadura,tarde,404,520,31,51,8
2026-03-19,Línea A - Torno CNC,manana,468,520,11,25,8
2026-03-19,Línea B - Prensa Hidráulica,manana,233,520,58,155,8
2026-03-19,Línea C - Soldadura,manana,378,520,40,35,8
2026-03-19,Línea A - Torno CNC,tarde,487,520,9,8,8
2026-03-19,Línea B - Prensa Hidráulica,tarde,204,520,43,160,8
2026-03-19,Línea C - Soldadura,tarde,365,520,23,18,8
2026-03-20,Línea A - Torno CNC,manana,453,520,3,7,8
2026-03-20,Línea B - Prensa Hidráulica,manana,218,520,68,145,8
2026-03-20,Línea C - Soldadura,manana,358,520,27,44,8
2026-03-20,Línea A - Torno CNC,tarde,442,520,16,27,8
2026-03-20,Línea B - Prensa Hidráulica,tarde,194,520,96,138,8
2026-03-20,Línea C - Soldadura,tarde,335,520,25,43,8
2026-03-23,Línea A - Torno CNC,manana,457,520,7,21,8
2026-03-23,Línea B - Prensa Hidráulica,manana,173,520,72,153,8
2026-03-23,Línea C - Soldadura,manana,369,520,23,48,8
2026-03-23,Línea A - Torno CNC,tarde,448,520,17,22,8
2026-03-23,Línea B - Prensa Hidráulica,tarde,208,520,67,110,8
2026-03-23,Línea C - Soldadura,tarde,403,520,29,58,8
2026-03-24,Línea A - Torno CNC,manana,457,520,15,23,8
2026-03-24,Línea B - Prensa Hidráulica,manana,249,520,49,139,8
2026-03-24,Línea C - Soldadura,manana,357,520,23,53,8
2026-03-24,Línea A - Torno CNC,tarde,476,520,21,19,8
2026-03-24,Línea B - Prensa Hidráulica,tarde,175,520,68,90,8
2026-03-24,Línea C - Soldadura,tarde,392,520,23,47,8
2026-03-25,Línea A - Torno CNC,manana,476,520,9,27,8
2026-03-25,Línea B - Prensa Hidráulica,manana,217,520,23,99,8
2026-03-25,Línea C - Soldadura,manana,345,520,46,43,8
2026-03-25,Línea A - Torno CNC,tarde,486,520,3,15,8
2026-03-25,Línea B - Prensa Hidráulica,tarde,215,520,59,152,8
2026-03-25,Línea C - Soldadura,tarde,352,520,40,55,8
2026-03-26,Línea A - Torno CNC,manana,466,520,7,22,8
2026-03-26,Línea B - Prensa Hidráulica,manana,188,520,26,131,8
2026-03-26,Línea C - Soldadura,manana,376,520,37,18,8
2026-03-26,Línea A - Torno CNC,tarde,463,520,5,22,8
2026-03-26,Línea B - Prensa Hidráulica,tarde,204,520,54,163,8
2026-03-26,Línea C - Soldadura,tarde,352,520,37,35,8
2026-03-27,Línea A - Torno CNC,manana,436,520,8,5,8
2026-03-27,Línea B - Prensa Hidráulica,manana,200,520,52,175,8
2026-03-27,Línea C - Soldadura,manana,394,520,15,33,8
2026-03-27,Línea A - Torno CNC,tarde,467,520,13,29,8
2026-03-27,Línea B - Prensa Hidráulica,tarde,222,520,55,147,8
2026-03-27,Línea C - Soldadura,tarde,408,520,25,50,8
